,LEFT,RIGHT,TOP,BOTTOM,IN,OUT,ALL,NOTHING,RS
LEFT,98.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0
RIGHT,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
TOP,0.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,60.0
BOTTOM,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,65.0
IN,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0
OUT,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,12.0
ALL,2.0,0.0,0.0,0.0,0.0,1.0,123.0,2.0,226.0
NOTHING,0.0,0.0,0.0,2.0,0.0,0.0,4.0,378.0,69.0
RS,89.0,78.0,68.0,69.0,4.0,13.0,210.0,80.0,3251.0
