,LEFT,RIGHT,TOP,BOTTOM,IN,OUT,ALL,NOTHING,RS
LEFT,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0
RIGHT,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
TOP,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0
BOTTOM,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,25.0
IN,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
OUT,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0
ALL,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,52.0
NOTHING,0.0,0.0,0.0,1.0,0.0,0.0,1.0,195.0,21.0
RS,41.0,36.0,32.0,30.0,3.0,4.0,53.0,27.0,883.0
