,LEFT,RIGHT,TOP,BOTTOM,IN,OUT,ALL,NOTHING,RS
LEFT,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
RIGHT,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
TOP,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
BOTTOM,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
ALL,1.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,104.0
NOTHING,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,20.0
RS,17.0,15.0,8.0,14.0,0.0,3.0,90.0,22.0,1255.0
