,LEFT,RIGHT,TOP,BOTTOM,IN,OUT,ALL,NOTHING,RS
LEFT,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RIGHT,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
TOP,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0
BOTTOM,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,5.0
IN,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
OUT,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ALL,0.0,0.0,0.0,0.0,0.0,1.0,113.0,1.0,51.0
NOTHING,0.0,0.0,0.0,1.0,0.0,0.0,1.0,74.0,15.0
RS,6.0,10.0,8.0,7.0,0.0,1.0,29.0,23.0,620.0
