,LEFT,RIGHT,TOP,BOTTOM,IN,OUT,ALL,NOTHING,RS
LEFT,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
RIGHT,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
TOP,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,5.0
BOTTOM,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,4.0
IN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
OUT,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
ALL,0.0,0.0,0.0,0.0,0.0,2.0,106.0,0.0,49.0
NOTHING,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,13.0
RS,12.0,11.0,13.0,11.0,1.0,0.0,36.0,25.0,555.0
