Dyad,early_rounds,cutoff_round,elapsed_present_rounds,early_round_count,player_rows,consistency_observations,DLIndex_early,Similarity_early,Consistency_early,margin_zero,E_F,E_xy,dominant_score
140-615,"1,2,6,9,10",10,5,5,10,8,0.625,0.602898225677831,0.3600089706120846,False,0.36733248300060534,0.383078231292517,0.59336610396393
142-263,"2,3,4,5,6",6,1,5,10,8,0.503125,0.5457638888888889,0.41534971985809316,False,0.051923656165975704,0.053840493762080444,0.16735438415627926
151-962,"2,3,6,8,9",9,4,5,10,8,0.45625,0.46903409090909093,0.3058117508199042,False,0.2130754272890233,0.19719516594516584,0.4036103749612176
152-727,"1,3,12,14,17",17,12,5,10,8,0.521875,0.3560606060606061,0.3189287813479624,False,0.03428688729935757,0.028942327470945325,0.16353080718850027
216-713,"2,6,9,10,12",12,7,5,10,8,0.015625,0.9921875,0.98046875,False,0.026868409300162023,0.019345238095238092,0.10978875820670997
251-716,"2,3,5,6,9",9,4,5,10,8,0.490625,0.7390737058993637,0.5843405877060917,False,0.5271378017258894,0.5094935701553348,0.620354520695291
261-970,"4,6,7,9,10",10,5,5,10,8,0.6125,0.6956503378378379,0.6577052696078431,False,0.0006467374662412597,0.0003372453797382965,0.01642547727740772
269-653,"4,5,9,10,11",11,6,5,10,8,0.6625,0.5663042100542099,0.2823266143578643,False,0.05985353718395797,0.05963730831315587,0.24357409424362478
277-491,"1,2,4,9,12",12,7,5,10,8,0.64375,0.8467785689857339,0.6804116359092396,False,0.8042755673080558,0.7624185885116377,0.8602153053490122
303-869,"1,5,7,8,13",13,8,5,10,8,0.815625,0.5479200225734803,0.4173487103174603,False,0.013161863103613503,0.011123118460075021,0.10192062625539719
313-199,"4,5,7,10,14",14,9,5,10,8,0.346875,0.779077743902439,0.48718377976190474,False,0.16791503262794816,0.15058106575963717,0.3846581717871381
331-863,"2,3,4,8,11",11,6,5,10,8,0.690625,0.7518777056277056,0.45471040591001294,False,0.012086160745152836,0.011351198895399756,0.08309515028452777
352-425,"2,3,4,6,7",7,2,5,10,8,0.7375,0.6888189935064934,0.2607857458380786,False,0.09632198404423466,0.09300595238095241,0.30496877279641665
354-344,"1,3,5,6,7",7,2,5,10,8,0.415625,0.6952743902439025,0.5071018474108607,False,0.08699372041415177,0.08338764337851927,0.28664554306989537
356-137,"1,5,7,9,13",13,8,5,10,8,0.8125,0.6117760617760617,0.5154724933451642,False,0.002885835232979666,0.0028105398003357247,0.04486263157278345
359-904,"1,4,5,6,11",11,6,5,10,8,0.5,0.6795833333333332,0.51909611869909,False,0.0011658929698396537,0.001681547619047615,0.040915854419248526
379-897,"3,5,10,11,12",12,7,5,10,8,0.48125,0.39072513176131596,0.25854925202282425,False,0.07045643902163722,0.0819072420634921,0.2834733547569205
