Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
142-263,18,142-263PL2,16,0.53125,0.515625,0.2978723404255319,12,33
142-263,20,142-263PL1,18,0.4375,0.484375,0.3023255813953488,21,31
142-263,20,142-263PL2,18,0.4375,0.609375,0.5652173913043478,21,39
142-263,21,142-263PL1,20,0.5,0.34375,0.2926829268292683,10,22
142-263,21,142-263PL2,20,0.5,0.46875,0.5333333333333333,10,30
142-263,23,142-263PL1,21,0.453125,0.453125,0.24390243902439024,15,29
142-263,23,142-263PL2,21,0.453125,0.46875,0.22448979591836735,15,30
142-263,26,142-263PL1,23,0.40625,0.453125,0.3488372093023256,19,29
142-263,26,142-263PL2,23,0.40625,0.546875,0.3541666666666667,19,35
142-263,27,142-263PL1,26,0.5,0.53125,0.2857142857142857,18,34
142-263,27,142-263PL2,26,0.5,0.53125,0.23214285714285715,18,34
142-263,28,142-263PL1,27,0.46875,0.5,0.375,21,32
142-263,28,142-263PL2,27,0.46875,0.625,0.48,21,40
142-263,29,142-263PL1,28,0.421875,0.515625,0.32653061224489793,18,33
142-263,29,142-263PL2,28,0.421875,0.46875,0.42857142857142855,18,30
142-263,30,142-263PL1,29,0.515625,0.46875,0.3695652173913043,12,30
142-263,30,142-263PL2,29,0.515625,0.421875,0.32558139534883723,12,27
142-263,31,142-263PL1,30,0.46875,0.421875,0.46153846153846156,12,27
142-263,31,142-263PL2,30,0.46875,0.421875,0.3170731707317073,12,27
142-263,35,142-263PL1,31,0.453125,0.5,0.3111111111111111,15,32
142-263,35,142-263PL2,31,0.453125,0.421875,0.2857142857142857,15,27
142-263,37,142-263PL1,35,0.5,0.5,0.28,13,32
142-263,37,142-263PL2,35,0.5,0.40625,0.2619047619047619,13,26
142-263,38,142-263PL1,37,0.4375,0.453125,0.38636363636363635,15,29
142-263,38,142-263PL2,37,0.4375,0.453125,0.27906976744186046,15,29
142-263,39,142-263PL1,38,0.625,0.5,0.32608695652173914,10,32
142-263,39,142-263PL2,38,0.625,0.4375,0.1875,10,28
142-263,42,142-263PL1,39,0.484375,0.453125,0.4186046511627907,16,29
142-263,42,142-263PL2,39,0.484375,0.53125,0.2916666666666667,16,34
142-263,44,142-263PL1,42,0.53125,0.46875,0.2826086956521739,18,30
142-263,44,142-263PL2,42,0.53125,0.625,0.45098039215686275,18,40
142-263,45,142-263PL1,44,0.515625,0.359375,0.2619047619047619,14,23
142-263,45,142-263PL2,44,0.515625,0.59375,0.4716981132075472,14,38
142-263,47,142-263PL1,45,0.453125,0.4634146341463415,0.275,15,28
142-263,47,142-263PL2,45,0.453125,0.484375,0.35294117647058826,15,31
