Dyad,Type,S_obs_size,tie_count,late_rounds,late_rows,h_obs,h_fiedler_naive,h_lr_baseline,h_tb_baseline,h_best_axis_baseline,eta,delta_vs_fiedler_naive,delta_vs_best_axis,baseline_status,connected_S,connected_Sbar,connected_both,corr_lr,corr_tb,dominant_score,score_ratio,MI,JSD,DLIndex_mean,Joint_mean,Similarity_mean,Size_visited_mean,late_category_mode,late_categories,Group
419-723,LR,32,0,7,14,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.874198303555831,0.0034167437883254,0.874198303555831,255.8571427822597,0.990311532045528,0.9903232818667363,0.9977678571428572,0.1428571428571428,0.9978354978354976,32.07142857142857,LEFT,"LEFT,RIGHT,RS",Axial
435-261,LR,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,32.0,LEFT,"LEFT,RIGHT",Axial
469-569,LR,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.8771837436546652,0.0102996134284305,0.8771837436546652,85.1666666583977,0.971974942855142,0.9720798353909592,0.9921875,0.5,0.9924242424242424,32.25,LEFT,"LEFT,RIGHT,RS",Axial
637-838,LR,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,32.0,LEFT,"LEFT,RIGHT",Axial
648-175,LR,32,0,6,12,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,32.0,LEFT,"LEFT,RIGHT",Axial
947-704,LR,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.8881523647402256,0.01916875607353,0.8881523647402256,46.33333333091621,0.8033145583932662,0.804357937675855,0.94921875,3.0,0.9317538485400751,33.375,LEFT,"LEFT,RIGHT,RS",Axial
948-444,LR,32,0,2,4,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,32.0,LEFT,"LEFT,RIGHT",Axial
656-979,LR,35,0,4,8,0.1216931216931216,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.0956521739130436,-0.0116402116402116,0.0169312169312169,mejora_fiedler_sin_alcanzar_axis,True,True,True,0.8833170210735917,-0.0675426123363123,0.8833170210735917,13.077922077728452,0.8989480200266093,0.9016445221138774,0.95703125,2.75,0.9390749007936507,33.375,RS,"LEFT,RS",Axial
538-623,LR,30,2,7,14,0.1269035532994923,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.0506666666666666,-0.0064297800338409,0.0221416485375876,mejora_fiedler_sin_alcanzar_axis,True,True,True,0.9067098773061,-0.0476126191279458,0.9067098773061,19.0434782604696,0.7967509192771152,0.7999880996226233,0.9196428571428572,5.142857142857143,0.9235896152719462,34.57142857142857,RS,"LEFT,RIGHT,RS",Axial
444-475,LR,28,12,3,6,0.2209302325581395,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.6035087719298246,0.0875968992248062,0.1161683277962347,no_mejora_fiedler,True,True,True,0.7966377704517336,0.1051400103134267,0.7966377704517336,7.5769230768510125,0.7076153455414456,0.7121939807369717,0.5,3.3333333333333335,0.4800595238095238,19.333333333333332,RS,RS,Axial
140-615,MIXED,28,0,7,14,0.5151515151515151,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.2588235294117647,0.3818181818181818,0.4103896103896103,no_mejora_fiedler,True,True,True,0.0163906422142936,-0.0613131430979134,0.0613131430979134,3.7407407405125146,0.6419013237298604,0.6610067837327572,0.7924107142857143,6.285714285714286,0.9006696428571429,31.642857142857142,OUT,"IN,OUT,RS",Mixed
151-962,MIXED,33,19,2,4,0.5263157894736842,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.2533333333333333,0.3929824561403509,0.4215538847117794,no_mejora_fiedler,False,False,False,0.2314550249431378,0.038575837490523,0.2314550249431378,5.9999999998444595,0.2496994071257585,0.2591682603174402,0.546875,16.5,0.5983237044817927,34.0,RS,RS,Mixed
618-522,MIXED,35,16,4,8,0.5339805825242718,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.2496969696969697,0.4006472491909385,0.429218677762367,no_mejora_fiedler,True,False,False,0.1481753403755334,-0.0510949449570804,0.1481753403755334,2.8999999999432435,0.1530976682077647,0.1645873300124585,0.4453125,11.0,0.4146002024291497,25.25,RS,RS,Mixed
505-833,MIXED,16,26,3,6,0.7407407407407407,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.18,0.6074074074074074,0.635978835978836,no_mejora_fiedler,False,False,False,-0.1157275124715689,0.1543033499620919,0.1543033499620919,1.333333333321812,0.3988995347365227,0.4120919198386137,0.3958333333333333,3.0,0.2816380439735702,15.666666666666666,RS,RS,Mixed
142-263,MIXED,18,10,4,8,0.8058252427184466,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.1654618473895582,0.6724919093851133,0.7010633379565419,no_mejora_fiedler,False,True,False,-0.0944911182523068,0.0984282481794863,0.0984282481794863,1.0416666666556431,0.1396983017984659,0.1408911825787779,0.53125,18.5,0.5546875,35.5,RS,RS,Mixed
269-653,MIXED,53,8,5,10,0.8181818181818182,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.1629629629629629,0.6848484848484849,0.7134199134199135,no_mejora_fiedler,True,False,False,0.1002989127656784,-0.1120987848557582,0.1120987848557582,1.117647058812386,0.1661691229675199,0.2246050484456602,0.54375,10.0,0.5438882488479263,27.4,RS,"ALL,NOTHING,RS",Mixed
687-660,MIXED,54,6,10,20,0.8867924528301887,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.150354609929078,0.7534591194968554,0.782030548068284,no_mejora_fiedler,True,False,False,0.1868770903945317,0.1266750746969644,0.1868770903945317,1.4752475247408294,0.1612797695894324,0.2208817794686715,0.3828125,3.4,0.4125137907403869,15.65,RS,"NOTHING,RS",Mixed
711-459,MIXED,11,10,7,14,0.8888888888888888,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.15,0.7555555555555555,0.7841269841269841,no_mejora_fiedler,False,True,False,0.0657052642012622,0.0627850302367617,0.0657052642012622,1.0465116278903086,0.1692780463104182,0.1853004295946536,0.4754464285714285,7.571428571428571,0.395498306936678,22.785714285714285,RS,RS,Mixed
251-716,TB,32,0,3,6,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",Axial
277-491,TB,32,0,5,10,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0047869987693421,0.8746530608555069,0.8746530608555069,182.71428567611673,0.9878430475948232,0.9878623262018352,0.996875,0.2,0.9969696969696968,32.1,BOTTOM,"BOTTOM,RS,TOP",Axial
331-863,TB,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",Axial
354-344,TB,32,1,12,24,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,-0.0030902512089026,0.9260452789344844,0.9260452789344844,299.6666665696935,0.6748064128114508,0.6819322427422595,0.8606770833333334,3.1666666666666665,0.8262228689418704,30.708333333333332,RS,"BOTTOM,RS,TOP",Axial
546-111,TB,32,0,8,16,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0,0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",Axial
768-541,TB,32,0,4,8,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0280774987088032,-0.9011971359761036,0.9011971359761036,32.09677419240523,0.9613232954514592,0.962411475597168,0.93359375,0.75,0.9341716800356504,30.625,BOTTOM,"BOTTOM,RS,TOP",Axial
825-534,TB,32,0,6,12,0.1047619047619047,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.2727272727272727,-0.0285714285714285,0.0,alcanza_axis,True,True,True,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",Axial
588-564,TB,28,0,6,12,0.1270718232044199,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,1.0492753623188404,-0.0062615101289134,0.0223099184425151,mejora_fiedler_sin_alcanzar_axis,True,True,True,0.1009854520487736,-0.8560812185043764,0.8560812185043764,8.477272727188783,0.990307020451397,0.9999999999999998,0.9895833333333334,0.0,0.8912037037037037,31.666666666666668,RS,"RS,TOP",Axial
152-727,TB,29,9,3,6,0.1443298969072164,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.923809523809524,0.0109965635738831,0.0395679921453117,no_mejora_fiedler,True,False,False,0.0266276850936272,0.8254582379024443,0.8254582379024443,30.999999998835793,0.0793107367479804,0.0796072455120824,0.8489583333333334,9.666666666666666,0.8529676735559087,36.833333333333336,RS,"RS,TOP",Axial
303-869,TB,27,7,3,6,0.1757575757575757,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.7586206896551724,0.0424242424242424,0.0709956709956709,no_mejora_fiedler,False,True,False,-0.0856593614583411,-0.7556379385789377,0.7556379385789377,8.821428571325587,0.5150094376416817,0.5180616655114965,0.7916666666666666,7.333333333333333,0.6639884797588286,32.666666666666664,RS,RS,Axial
598-684,TB,38,17,2,4,0.5932203389830508,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.1047619047619047,0.2247619047619047,0.4598870056497175,0.488458434221146,no_mejora_fiedler,False,False,False,0.020239668840091,0.332508845230068,0.332508845230068,16.428571427759728,0.2453207428067863,0.2679569592276664,0.5546875,20.0,0.58984375,37.75,RS,RS,Axial
