Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y
151-962,2,151-962PL1,Absent,28322,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,14,0,21,0,0,20,0,10,0,0,22,11,0,19,1,0,0,7,23,24,0,18,0,26,25,2,0,0,12,0,13,0,27,0,3,0,0,0,0,6,28,15,4,0,0,17,16,5,0,0,31,0,8,0,0,0,29,30,0,9,0,9,23,Unicorn_Absent,-1,-1
151-962,2,151-962PL2,Absent,29939,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,10,0,0,0,0,0,23,0,22,21,0,11,0,18,24,1,0,5,20,0,19,3,25,0,6,0,35,34,0,13,0,15,0,36,2,0,33,0,16,44,14,38,40,32,0,29,17,0,4,39,26,28,7,0,0,43,42,41,27,0,31,30,9,23,Unicorn_Absent,-1,-1
151-962,3,151-962PL1,Absent,17099,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,13,0,17,0,14,0,0,0,0,0,9,0,15,0,7,8,0,3,0,16,0,0,0,0,11,0,12,0,4,0,0,2,10,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,19,0,20,0,21,0,0,20,12,Unicorn_Absent,-1,-1
151-962,3,151-962PL2,Absent,17713,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,13,0,12,0,14,0,0,11,0,0,0,0,23,9,10,2,24,0,0,0,0,29,28,30,27,0,26,22,31,0,16,32,25,0,0,0,0,21,33,0,0,4,18,0,7,6,19,20,0,0,0,0,0,0,0,17,5,0,0,20,12,Unicorn_Absent,-1,-1
151-962,4,151-962PL1,Present,17241,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0,9,0,0,5,17,16,0,8,0,14,0,15,0,4,0,0,0,13,0,2,18,0,3,0,0,0,0,0,19,0,0,20,0,12,0,1,0,6,0,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,0,20,12,Unicorn_Present,6,5
151-962,4,151-962PL2,Absent,17845,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,31,30,0,0,29,32,0,11,10,0,25,0,0,0,26,0,0,24,0,3,0,27,0,12,0,9,19,20,4,0,0,0,0,2,18,17,0,5,0,13,23,0,21,16,0,0,0,0,14,0,1,0,0,6,0,0,35,0,34,33,0,7,0,-76,12,Unicorn_Present,6,5
151-962,5,151-962PL2,Absent,17965,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,16,0,0,0,0,14,0,0,0,27,15,12,0,0,0,0,10,0,30,29,13,4,0,26,9,28,17,3,0,0,0,0,0,2,18,0,5,0,0,0,23,22,0,0,21,20,0,25,24,0,19,0,0,0,0,0,8,0,7,0,0,6,0,-77,13,Unicorn_Present,0,1
151-962,5,151-962PL1,Absent,17833,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,12,0,0,11,10,0,6,0,5,0,0,0,0,0,20,0,0,0,4,0,22,0,19,0,3,0,0,0,0,0,2,14,0,0,18,0,0,0,0,0,7,0,1,0,15,21,8,17,0,0,0,0,0,0,0,0,16,0,0,9,0,-77,13,Unicorn_Present,0,1
151-962,6,151-962PL1,Absent,17744,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,25,0,24,0,0,0,7,0,26,1,22,23,6,29,0,0,27,5,32,33,31,0,30,4,28,20,0,19,0,2,0,0,0,21,10,0,18,0,0,0,11,0,3,0,0,17,0,0,0,12,0,0,8,0,0,0,0,13,14,15,16,0,0,9,17,15,Unicorn_Absent,-1,-1
151-962,6,151-962PL2,Absent,19203,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,26,0,0,0,0,0,0,25,0,0,0,9,0,8,0,24,0,0,0,10,0,7,0,0,35,11,12,13,14,6,0,23,0,34,33,5,15,16,17,22,0,32,0,1,0,0,0,21,0,0,31,0,30,18,0,20,3,0,2,0,29,19,27,28,17,15,Unicorn_Absent,-1,-1
151-962,7,151-962PL1,Absent,13191,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,16,0,0,0,0,15,0,0,4,0,0,3,0,14,0,19,18,17,23,0,24,0,0,0,0,2,22,5,0,13,0,1,0,21,0,0,0,0,0,0,0,0,20,0,6,0,0,9,0,8,0,7,0,0,0,0,0,10,0,11,0,12,-78,14,Unicorn_Present,7,5
151-962,7,151-962PL2,Absent,13756,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,11,0,0,0,0,0,5,20,3,10,0,9,0,6,0,0,18,0,0,8,0,0,0,21,13,0,0,0,0,7,19,1,0,14,16,0,0,0,0,0,0,15,0,17,-78,14,Unicorn_Present,7,5
151-962,8,151-962PL2,Absent,13437,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,0,6,0,9,0,0,31,30,0,0,0,10,21,11,29,0,0,0,0,22,4,0,12,0,19,0,23,0,0,28,0,13,0,17,25,3,0,27,0,14,0,16,0,0,26,2,0,0,15,0,21,11,Unicorn_Absent,-1,-1
151-962,8,151-962PL1,Absent,11680,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,17,0,18,0,0,0,13,12,0,0,10,11,15,0,0,16,5,0,0,0,0,0,4,0,0,19,9,0,3,2,0,0,6,0,0,0,0,0,0,7,0,0,8,20,0,0,25,0,22,0,0,21,0,1,0,23,0,0,24,0,21,11,Unicorn_Absent,-1,-1
151-962,9,151-962PL1,Absent,14303,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,23,0,0,0,24,0,25,0,1,22,0,9,0,10,0,26,27,21,8,0,20,0,11,0,28,18,19,0,2,0,0,0,30,29,17,0,16,0,12,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,13,6,0,5,0,0,15,0,14,17,15,Unicorn_Absent,-1,-1
151-962,9,151-962PL2,Absent,15638,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,18,0,0,0,0,17,0,0,10,19,0,16,8,9,22,21,0,0,0,0,0,0,31,0,3,20,30,0,32,0,2,24,4,0,0,33,0,14,6,0,5,12,28,0,34,0,0,0,0,25,27,0,0,1,35,0,13,26,0,17,15,Unicorn_Absent,-1,-1
151-962,10,151-962PL1,Absent,16256,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,3,2,4,5,0,6,0,9,0,0,0,8,0,0,7,0,0,10,0,0,11,0,0,14,0,15,16,13,0,12,0,0,0,0,17,18,0,0,19,24,25,22,0,21,0,0,20,36,0,26,0,27,28,0,29,35,34,33,32,31,0,30,0,18,14,Unicorn_Absent,-1,-1
151-962,10,151-962PL2,Absent,14854,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,28,0,11,13,27,0,29,0,0,0,0,0,26,0,0,9,10,0,3,15,0,0,8,0,0,0,17,25,0,0,0,19,18,0,0,0,4,0,31,0,30,7,24,0,23,0,0,20,1,21,0,0,22,0,18,14,Unicorn_Absent,-1,-1
151-962,11,151-962PL1,Present,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,3
151-962,11,151-962PL2,Present,5507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,3
151-962,12,151-962PL2,Absent,15380,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,0,5,0,20,0,4,8,0,0,18,19,10,3,23,7,0,0,0,6,2,24,22,25,0,17,0,16,0,15,26,0,13,0,0,1,0,27,0,0,12,0,0,0,0,0,0,0,0,-77,13,Unicorn_Present,3,5
151-962,12,151-962PL1,Absent,14031,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,19,20,0,0,30,0,21,22,0,0,29,0,0,18,17,0,28,12,11,9,10,6,0,0,0,0,1,8,7,0,16,23,0,13,0,14,0,0,15,0,27,0,0,0,2,0,0,24,0,26,0,0,0,25,0,0,5,0,0,4,0,0,0,3,-77,13,Unicorn_Present,3,5
151-962,13,151-962PL1,Present,11518,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,24,0,0,0,25,6,0,23,0,7,13,0,0,0,0,22,4,0,0,14,0,26,5,20,21,16,17,15,0,0,0,0,19,8,0,0,3,0,27,0,9,0,0,0,0,0,0,10,0,0,11,12,0,0,0,0,0,1,0,0,0,2,0,23,9,Unicorn_Present,6,2
151-962,13,151-962PL2,Present,13601,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,10,9,0,0,0,0,8,0,0,0,6,0,0,12,28,27,0,26,20,0,2,0,19,3,0,0,0,22,0,18,0,14,0,24,21,23,1,0,0,5,15,0,0,0,0,17,0,0,16,0,23,9,Unicorn_Present,6,2
