Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y
303-869,1,303-869PL1,Absent,126606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,16,15,14,13,12,11,10,9,17,18,19,20,21,22,23,24,35,36,37,0,0,0,0,0,34,0,38,0,0,0,0,0,33,0,0,0,0,0,28,27,32,0,0,0,0,0,29,26,31,0,0,0,0,0,30,25,17,15,Unicorn_Absent,-1,-1
303-869,1,303-869PL2,Absent,46295,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14,0,15,16,17,0,6,5,13,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,12,11,9,8,0,26,27,28,2,29,30,0,31,25,24,23,22,21,20,19,18,0,1,0,0,0,0,3,0,0,0,0,32,0,0,0,0,17,15,Unicorn_Absent,-1,-1
303-869,2,303-869PL1,Present,46056,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,0,0,0,0,14,13,7,9,0,0,0,0,0,0,15,24,23,22,21,0,0,0,16,17,18,19,20,3,29,28,30,25,26,27,2,30,2,Unicorn_Present,2,7
303-869,2,303-869PL2,Present,44503,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,2,Unicorn_Present,2,7
303-869,3,303-869PL1,Present,13585,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,32,0,Unicorn_Present,0,7
303-869,3,303-869PL2,Present,15695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,Unicorn_Present,0,7
303-869,4,303-869PL1,Present,34654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,0,39,38,37,36,35,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,12,13,14,15,16,4,5,6,3,2,1,7,8,29,3,Unicorn_Present,1,2
303-869,4,303-869PL2,Present,34887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Present,1,2
303-869,5,303-869PL1,Absent,38616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,42,43,44,45,46,47,48,64,61,60,57,56,50,51,49,63,62,59,58,55,53,52,54,9,10,11,12,13,14,15,16,8,6,7,1,2,3,4,5,24,23,22,21,20,19,18,17,40,39,38,37,36,35,34,33,25,26,27,28,29,30,31,32,26,6,Unicorn_Absent,-1,-1
303-869,5,303-869PL2,Absent,37374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1
303-869,6,303-869PL1,Present,12362,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,10,9,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,32,0,Unicorn_Present,2,2
303-869,6,303-869PL2,Present,14399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,2,2
303-869,7,303-869PL2,Absent,39575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1
303-869,7,303-869PL1,Absent,40351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,3,4,5,6,11,9,10,36,37,38,39,40,41,42,12,50,49,48,47,46,45,44,43,66,65,64,63,62,61,60,59,51,52,53,54,55,56,57,58,32,31,30,29,28,27,26,25,19,20,33,21,23,22,34,24,18,1,2,17,16,15,14,13,27,5,Unicorn_Absent,-1,-1
303-869,8,303-869PL1,Absent,29356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,17,16,15,14,13,12,10,9,18,20,21,22,23,24,25,26,34,33,32,31,30,29,28,27,50,49,48,47,46,45,44,43,35,36,37,38,39,40,42,41,0,0,0,0,0,0,0,0,51,52,0,0,0,0,0,0,1,2,3,4,5,6,7,8,27,5,Unicorn_Absent,-1,-1
303-869,8,303-869PL2,Absent,29276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1
303-869,9,303-869PL1,Present,30160,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,23,22,2,0,0,0,0,0,0,21,3,0,0,0,0,0,0,20,4,0,0,0,0,0,0,19,5,0,0,0,0,0,0,18,6,0,0,0,0,0,0,17,7,0,0,0,0,0,0,16,8,9,10,12,11,13,14,15,31,1,Unicorn_Present,6,0
303-869,9,303-869PL2,Present,29968,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,11,0,0,0,0,0,0,10,12,0,0,1,0,0,9,0,13,5,0,0,0,8,0,6,14,0,0,0,7,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Present,6,0
303-869,10,303-869PL2,Present,8584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,7,7
303-869,10,303-869PL1,Present,9464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4,6,7,8,32,0,Unicorn_Present,7,7
303-869,11,303-869PL2,Present,22021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,7,6,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,10,11,12,0,0,0,16,17,18,0,3,0,0,0,0,0,15,14,0,13,0,0,0,0,0,0,0,0,27,5,Unicorn_Present,1,6
303-869,11,303-869PL1,Present,22213,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,18,19,20,21,22,23,15,0,0,0,0,0,0,24,14,0,0,0,0,0,0,25,13,0,0,0,0,0,0,26,12,0,0,0,0,0,0,27,11,0,0,0,0,0,0,28,1,33,34,32,31,30,29,10,2,3,4,5,6,7,8,9,27,5,Unicorn_Present,1,6
303-869,12,303-869PL2,Present,26620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,5,4,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,Unicorn_Present,1,2
303-869,12,303-869PL1,Present,26971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,9,36,35,34,32,30,31,8,37,10,27,28,26,29,7,0,38,39,11,24,25,6,0,0,0,40,0,12,5,0,0,0,0,0,0,4,13,0,0,0,0,0,22,23,21,14,0,0,0,2,0,19,18,0,15,0,1,0,0,20,17,0,0,16,26,6,Unicorn_Present,1,2
303-869,13,303-869PL1,Absent,39619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,35,36,37,38,39,40,8,32,33,31,50,49,7,9,41,56,30,29,28,6,10,47,42,55,54,27,5,11,48,46,43,51,53,4,12,26,25,45,44,57,3,13,64,65,24,22,21,2,15,58,63,62,23,19,20,1,16,59,60,61,66,18,17,25,7,Unicorn_Absent,-1,-1
303-869,13,303-869PL2,Absent,39116,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1
303-869,14,303-869PL1,Absent,30476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,10,11,12,13,14,15,16,17,24,25,23,22,21,20,19,18,26,27,28,29,30,31,32,33,0,0,0,0,50,49,44,43,8,9,0,0,0,48,45,42,6,7,5,0,0,46,40,41,3,4,0,0,0,39,37,36,2,1,0,0,0,38,35,34,19,13,Unicorn_Absent,-1,-1
303-869,14,303-869PL2,Absent,29951,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,7,0,0,0,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,6,0,16,15,14,3,2,0,0,0,18,17,13,19,0,0,0,1,0,23,12,20,0,0,0,0,21,22,0,0,0,0,19,13,Unicorn_Absent,-1,-1
303-869,15,303-869PL1,Present,22752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,17,16,15,14,13,12,10,11,18,19,20,21,22,23,9,24,0,0,0,0,5,8,0,25,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,0,0,0,0,2,0,0,0,0,0,0,1,31,32,30,29,28,27,26,22,10,Unicorn_Present,1,7
303-869,15,303-869PL2,Present,22873,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0,6,0,8,7,0,11,13,0,0,2,0,0,0,12,14,3,0,0,0,4,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Present,1,7
303-869,16,303-869PL1,Absent,24285,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,26,27,28,29,30,31,33,34,0,0,0,0,38,37,36,35,0,0,0,0,0,0,0,0,25,15,23,24,0,0,0,0,14,21,22,20,18,0,0,0,10,11,3,19,17,0,0,0,9,2,6,7,0,0,0,44,1,4,5,8,39,40,42,43,25,7,Unicorn_Absent,-1,-1
303-869,16,303-869PL2,Absent,22767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,13,5,0,0,11,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,2,0,0,0,25,7,Unicorn_Absent,-1,-1
303-869,17,303-869PL1,Absent,30431,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,9,10,0,0,0,0,1,5,4,12,0,0,0,0,6,7,8,13,0,0,0,0,0,0,0,0,0,0,0,0,40,41,42,43,44,45,0,0,33,32,31,30,16,18,19,20,34,35,36,29,15,23,22,21,39,38,37,27,14,24,25,26,-75,11,Unicorn_Present,1,3
303-869,17,303-869PL2,Absent,23768,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,14,16,15,17,18,13,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,4,2,0,0,0,11,0,0,3,0,0,0,0,0,0,0,1,0,0,0,8,10,0,0,0,0,0,9,0,0,-75,11,Unicorn_Present,1,3
303-869,18,303-869PL1,Present,23391,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,23,24,26,25,28,27,21,2,0,0,0,0,0,29,20,0,3,0,0,0,0,30,19,0,0,4,0,0,0,31,18,0,0,0,5,0,0,32,17,40,0,0,0,6,0,33,16,39,38,37,36,35,7,34,15,14,13,12,11,10,9,8,20,12,Unicorn_Present,1,6
303-869,18,303-869PL2,Present,22561,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,29,0,28,27,30,13,0,0,3,4,5,6,0,0,11,12,10,9,8,7,0,20,19,18,17,25,26,0,0,21,22,1,2,0,0,0,0,0,23,15,16,24,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,20,12,Unicorn_Present,1,6
303-869,19,303-869PL2,Present,32071,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Present,6,2
303-869,19,303-869PL1,Present,32223,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,23,24,25,26,27,28,29,22,2,0,0,0,0,0,30,21,3,0,0,0,0,39,31,18,0,0,4,0,0,38,32,19,0,0,0,5,0,37,33,17,0,0,0,0,6,36,34,16,0,0,0,0,0,7,35,15,14,13,12,11,10,9,8,30,2,Unicorn_Present,6,2
303-869,20,303-869PL2,Present,5720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,7
303-869,20,303-869PL1,Present,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,0,0,32,0,Unicorn_Present,3,7
303-869,21,303-869PL1,Absent,48078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,19,20,21,22,23,25,24,33,34,32,30,29,28,27,26,35,36,38,39,40,41,42,43,52,51,49,48,47,46,45,44,53,54,58,59,62,65,66,69,55,56,57,60,63,64,67,68,8,3,5,4,9,13,14,17,1,6,7,10,11,12,16,15,27,5,Unicorn_Absent,-1,-1
303-869,21,303-869PL2,Absent,47751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1
303-869,22,303-869PL2,Present,11374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,1
303-869,22,303-869PL1,Present,12020,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,12,13,11,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,1
303-869,23,303-869PL1,Absent,33471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,17,16,13,14,12,11,10,1,2,3,4,6,7,8,9,20,61,62,63,64,65,66,67,18,60,59,58,57,56,55,54,45,46,47,48,49,50,51,52,37,38,39,40,41,42,44,53,36,34,35,33,31,32,30,29,21,22,23,24,25,26,27,28,24,8,Unicorn_Absent,-1,-1
303-869,23,303-869PL2,Absent,35344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1
