Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
140-615,51,140-615PL1,Absent,15404,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,45,44,43,42,41,39,38,3,0,0,0,0,0,0,36,4,0,0,0,0,0,0,37,6,0,0,0,0,0,0,34,8,0,0,0,0,0,0,31,9,0,0,0,0,0,0,29,11,0,0,0,0,0,0,27,12,15,16,17,24,23,20,21,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,453,32.0,28,1.0,64,0.0,1.0,OUT,1.0,32.0,1.0,0.0,0.0,OUT,1.0
140-615,56,140-615PL1,Absent,16182,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,39,40,38,36,34,33,30,3,0,0,0,0,0,0,31,5,0,0,0,0,0,0,29,6,0,0,0,0,0,0,32,8,0,0,0,0,0,0,27,9,0,0,0,0,0,0,26,10,0,0,0,0,0,0,24,12,41,14,42,15,17,19,22,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,613,32.0,28,1.0,64,0.0,1.0,OUT,1.0,32.0,1.0,0.0,0.0,OUT,1.0
140-615,1,140-615PL2,Absent,44817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,8,9,2,0,0,0,0,7,11,10,0,0,0,0,0,0,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,9,Unicorn_Absent,-1,-1,Unicorn_Absent,23,25.0,13,,48,,0.609375,RS,0.3611111111111111,,0.3333333333333333,,,RS,
140-615,9,140-615PL2,Absent,26576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,5,22,21,20,26,23,31,7,8,4,18,19,25,24,30,9,10,3,16,17,27,28,29,12,11,36,15,32,14,42,44,37,1,35,34,33,13,41,39,38,0,0,47,49,50,0,43,0,0,0,48,46,45,0,0,0,0,0,0,0,0,0,0,27.0,5,Unicorn_Absent,-1,-1,Unicorn_Absent,-56,32.0,48,0.42,58,0.14916666666666667,0.828125,RS,0.75,18.0,0.41509433962264153,14.0,0.24921531701192717,RS,0.3611111111111111
140-615,10,140-615PL2,Absent,16376,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,6,0,0,10,0,0,0,8,0,5,0,9,0,0,0,0,0,4,3,0,11,0,0,0,0,14,0,13,12,0,0,0,0,15,2,0,16,0,0,1,22,23,25,26,27,29,30,0,21,19,0,18,17,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-24,32.0,27,0.41509433962264153,27,0.41509433962264153,0.421875,RS,0.5,27.0,0.38636363636363635,5.0,0.14916666666666667,RS,0.75
140-615,11,140-615PL2,Absent,16552,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,2,0,3,4,5,0,0,1,0,37,36,7,6,34,0,0,0,16,15,35,17,33,0,0,0,13,14,9,30,31,18,12,0,0,11,10,29,20,0,0,0,0,0,0,21,28,0,0,0,0,0,22,26,27,0,24,0,0,23,0,0,0,25,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,8,32.0,34,0.38636363636363635,34,0.6136363636363636,0.53125,RS,0.53125,32.0,0.40816326530612246,0.0,0.41509433962264153,RS,0.5
140-615,39,140-615PL2,Absent,17183,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,23,0,19,22,20,2,0,24,0,18,17,21,16,0,0,4,0,30,0,15,0,5,6,25,7,0,29,0,14,10,0,0,0,0,0,13,0,0,0,0,9,8,0,0,0,0,26,0,0,0,0,12,0,27,28,0,0,0,0,11,0,3.0,29,Unicorn_Absent,-1,-1,Unicorn_Absent,169,14.0,29,0.27906976744186046,64,0.15843023255813954,0.546875,RS,0.4878048780487805,22.0,0.38,10.0,0.6842105263157895,RS,0.53125
140-615,40,140-615PL2,Absent,17754,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,2,3,4,5,6,0,7,0,0,32,31,30,0,29,0,11,34,33,9,39,28,8,0,12,0,10,37,38,27,44,0,13,0,35,0,23,22,0,0,14,0,0,40,0,24,25,43,16,0,0,0,0,20,0,0,17,18,19,0,0,41,42,0,14.0,18,Unicorn_Absent,-1,-1,Unicorn_Absent,183,15.0,40,0.38,50,0.057499999999999996,0.5,RS,0.625,3.0,0.37037037037037035,29.0,0.15843023255813954,RS,0.4878048780487805
140-615,41,140-615PL2,Absent,18563,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,34,3,4,5,6,7,0,0,0,0,0,31,33,8,20,0,35,0,18,0,32,9,0,0,0,17,30,29,0,10,21,0,15,16,0,0,0,11,0,22,0,14,0,13,0,12,0,23,24,25,28,0,0,0,0,0,0,26,27,0,0,0,15.0,17,Unicorn_Absent,-1,-1,Unicorn_Absent,198,23.0,34,0.37037037037037035,45,0.6296296296296297,0.4375,RS,0.53125,14.0,0.3695652173913043,18.0,0.057499999999999996,RS,0.625
140-615,42,140-615PL2,Absent,19966,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,32,16,0,0,4,5,0,0,0,14,0,15,6,0,0,19,0,0,13,17,0,18,0,0,31,30,12,9,10,33,34,0,0,29,0,11,2,0,0,20,0,27,0,25,0,21,0,0,1,0,23,0,24,0,0,0,0,0,0,22,0,0,0,0,23.0,9,Unicorn_Absent,-1,-1,Unicorn_Absent,221,16.0,29,0.3695652173913043,48,0.6304347826086957,0.609375,RS,0.453125,15.0,0.4117647058823529,17.0,0.6296296296296297,RS,0.53125
