Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
152-727,45,152-727PL1,Absent,16038,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,33,0,0,0,30,0,31,0,32,0,23,29,0,34,0,48,22,0,0,0,0,35,51,50,49,0,0,28,36,26,20,47,19,18,52,27,37,15,16,46,45,17,44,39,38,14,12,7,6,5,43,40,1,10,2,13,3,41,42,14.0,18,Unicorn_Absent,-1,-1,Unicorn_Absent,575,19.0,45,0.5,64,0.012195121951219523,0.71875,RS,0.7111111111111111,11.0,0.34375,21.0,0.3476190476190476,RS,0.32142857142857145
152-727,49,152-727PL1,Absent,16099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,10,11,14,15,2,5,3,8,9,12,13,16,24,23,22,21,20,19,18,17,25,26,27,28,29,30,31,32,41,40,39,38,37,35,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,7,Unicorn_Absent,-1,-1,Unicorn_Absent,678,29.0,40,0.7608695652173914,64,0.0499412455934195,0.890625,RS,0.8,19.0,0.875,13.0,0.203125,RS,0.7111111111111111
152-727,56,152-727PL1,Absent,15159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,19,15,14,13,12,11,10,9,17,18,20,21,22,23,24,25,34,33,31,30,29,32,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,4,Unicorn_Absent,-1,-1,Unicorn_Absent,891,29.0,32,0.8421052631578947,64,0.03654970760233911,0.9375,TOP,1.0,29.0,0.9142857142857143,3.0,0.046052631578947345,RS,0.8
152-727,17,152-727PL2,Present,6502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-145,-65.0,2,0.0,18,0.27586206896551724,0.265625,RS,0.0625,-65.0,0.0,1.0,0.8181818181818181,RS,
152-727,21,152-727PL2,Present,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-212,-65.0,1,0.0,64,1.0,0.984375,RS,0.03125,-65.0,1.0,1.0,0.265625,RS,0.0625
152-727,28,152-727PL2,Absent,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,1,Unicorn_Absent,-1,-1,Unicorn_Absent,-226,-64.0,1,0.0,64,0.03125,0.984375,RS,0.03125,-65.0,0.0,1.0,0.75,NOTHING,0.03125
152-727,29,152-727PL2,Present,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-290,30.0,0,0.0,5,0.078125,0.078125,NOTHING,1.0,31.0,0.0,1.0,0.03125,RS,0.03125
152-727,32,152-727PL2,Absent,26164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,20,21,22,23,25,26,27,18,17,16,32,31,30,29,28,13,14,15,33,34,36,35,37,12,11,10,42,41,40,39,38,68,8,9,2,43,44,45,46,67,7,60,5,3,49,48,47,65,66,59,61,62,50,51,52,64,63,58,57,56,55,54,53,-20.0,52,Unicorn_Absent,-1,-1,Unicorn_Absent,-267,28.0,64,0.03125,64,0.78125,0.1875,ALL,1.0,30.0,1.0,2.0,0.078125,ALL,1.0
152-727,33,152-727PL2,Absent,26731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,44,45,62,63,64,65,66,37,42,47,61,60,59,69,67,38,41,35,48,57,58,56,55,39,1,36,49,50,51,53,52,6,40,7,8,20,21,34,54,5,4,3,18,19,22,31,32,15,14,16,17,9,23,30,29,13,12,11,10,25,24,27,28,28.0,4,Unicorn_Absent,-1,-1,Unicorn_Absent,-239,24.0,64,1.0,64,0.9230769230769231,0.9375,ALL,1.0,-20.0,1.0,52.0,0.78125,ALL,1.0
152-727,34,152-727PL2,Absent,32959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,67,65,66,61,60,59,34,69,1,64,63,62,36,35,58,30,32,28,26,25,37,40,41,31,33,2,27,24,38,39,57,11,12,13,3,23,44,56,42,20,18,9,4,55,45,46,47,19,15,14,6,5,53,49,48,21,22,8,7,52,51,50,54,24.0,8,Unicorn_Absent,-1,-1,Unicorn_Absent,-215,13.0,64,1.0,64,0.6666666666666667,0.875,ALL,1.0,28.0,0.515625,4.0,0.9230769230769231,RS,1.0
152-727,35,152-727PL2,Absent,27822,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,29,28,0,0,0,0,0,0,31,30,0,0,0,0,0,0,32,33,0,0,0,0,0,0,0,0,27,26,22,21,20,19,0,0,25,24,23,17,4,18,0,0,0,2,3,16,5,6,0,0,0,15,1,11,10,7,0,0,0,14,13,12,9,8,13.0,19,Unicorn_Absent,-1,-1,Unicorn_Absent,-202,-64.0,33,0.515625,60,0.36668882978723405,0.640625,RS,0.515625,24.0,0.030303030303030304,8.0,0.6666666666666667,RS,1.0
152-727,36,152-727PL2,Present,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,-266,21.0,1,0.030303030303030304,10,0.16534914361001318,0.15625,RS,0.03125,13.0,0.0,19.0,0.36668882978723405,RS,0.515625
152-727,45,152-727PL2,Absent,17785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,16,15,14,13,12,11,10,9,17,18,19,20,21,22,23,24,32,31,30,29,28,27,26,25,33,34,35,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,-1,-1,Unicorn_Absent,-97,19.0,37,0.4878048780487805,64,0.012195121951219523,0.71875,RS,0.8648648648648649,11.0,0.140625,21.0,0.3476190476190476,RS,0.03125
152-727,49,152-727PL2,Absent,17464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,30,0,0,0,0,0,0,0,29,28,27,26,25,17,19,18,20,21,22,23,24,16,15,14,13,12,11,10,9,1,2,3,4,5,6,7,8,25.0,7,Unicorn_Absent,-1,-1,Unicorn_Absent,6,29.0,31,0.8108108108108109,64,0.0499412455934195,0.890625,RS,0.8529411764705882,19.0,0.8787878787878788,13.0,0.203125,RS,0.8648648648648649
152-727,56,152-727PL2,Absent,16304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,36,0,35,0,27,28,29,30,31,32,33,34,24,23,22,21,20,19,18,17,2,3,6,7,10,11,14,15,1,4,5,8,9,12,13,16,28.0,4,Unicorn_Absent,-1,-1,Unicorn_Absent,219,29.0,36,0.8055555555555556,64,0.03654970760233911,0.9375,RS,0.8888888888888888,29.0,0.8888888888888888,3.0,0.046052631578947345,BOTTOM,0.8529411764705882
216-713,9,216-713PL1,Absent,26293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,53,56,57,58,59,60,61,63,55,54,6,5,77,74,76,65,51,7,49,4,73,71,69,68,50,12,48,13,14,15,70,67,10,45,46,3,43,44,16,39,9,21,20,28,42,18,37,40,26,22,27,2,35,29,36,41,25,23,1,34,33,32,30,31,-27.0,59,Unicorn_Absent,-1,-1,Unicorn_Absent,6,-32.0,64,1.0,64,0.078125,0.078125,ALL,1.0,-32.0,1.0,64.0,0.0,ALL,
216-713,12,216-713PL1,Absent,30264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,28,26,24,23,22,19,18,55,54,56,53,52,49,51,16,32,57,71,72,77,76,50,20,34,58,70,78,74,75,47,21,35,62,69,68,64,65,46,12,36,59,60,61,67,66,45,11,38,39,40,41,42,43,44,10,1,2,3,4,5,7,8,9,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-30,-28.0,64,1.0,64,0.0,0.0,ALL,1.0,-32.0,1.0,64.0,0.078125,ALL,1.0
216-713,20,216-713PL1,Absent,23286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,33,32,31,76,75,70,77,35,14,13,78,12,74,72,28,16,36,59,79,60,73,63,27,58,37,5,4,62,10,65,66,17,38,39,40,41,42,64,26,18,1,6,8,53,43,44,67,19,55,56,54,3,51,46,69,57,20,21,22,52,23,49,48,-26.0,58,Unicorn_Absent,-1,-1,Unicorn_Absent,-46,-14.0,64,1.0,64,0.25,0.09375,ALL,1.0,-22.0,1.0,54.0,0.15625,ALL,1.0
216-713,28,216-713PL1,Absent,27224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85,28,82,6,79,7,78,53,86,27,5,81,10,77,9,54,31,83,70,13,80,76,56,55,84,26,71,72,74,15,57,49,32,25,69,1,60,68,58,48,34,35,36,63,61,16,17,47,24,23,38,64,65,67,19,46,39,40,41,21,42,43,44,45,-18.0,50,Unicorn_Absent,-1,-1,Unicorn_Absent,-51,-23.0,64,0.984375,64,0.21875,0.21875,ALL,1.0,-30.0,1.0,62.0,0.0,ALL,1.0
216-713,45,216-713PL1,Absent,26735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,44,43,8,46,47,48,49,6,70,42,80,81,82,83,50,67,68,72,74,79,77,78,51,71,66,25,41,40,29,39,11,21,65,26,24,2,30,37,36,20,64,23,58,3,55,12,52,63,19,17,57,56,31,13,34,62,61,60,16,15,54,33,53,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-131,-31.0,64,1.0,64,0.0,0.0,ALL,1.0,-32.0,1.0,64.0,0.0,ALL,1.0
216-713,48,216-713PL1,Absent,29438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,19,18,17,66,78,67,68,3,65,60,61,2,76,82,13,57,58,64,62,45,80,81,70,22,56,54,1,43,75,72,11,23,53,84,83,46,37,74,36,24,5,87,90,88,89,10,35,26,51,91,49,48,8,9,34,27,29,6,30,39,31,32,33,-31.0,63,Unicorn_Absent,-1,-1,Unicorn_Absent,-196,-31.0,64,1.0,64,0.03125,0.015625,ALL,1.0,-31.0,0.984375,63.0,0.015625,RS,1.0
216-713,49,216-713PL1,Absent,26407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9,37,7,36,35,5,34,33,38,48,59,58,57,56,4,32,10,49,61,70,63,64,66,30,12,51,72,62,68,80,3,29,41,71,52,53,78,82,89,28,40,42,75,73,77,88,84,86,15,44,0,76,2,87,85,26,17,18,19,20,21,22,24,25,-31.0,63,Unicorn_Absent,-1,-1,Unicorn_Absent,-227,-30.0,63,0.984375,64,0.0,0.015625,RS,0.984375,-31.0,0.984375,63.0,0.03125,ALL,1.0
216-713,52,216-713PL1,Absent,26780,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,11,15,14,16,21,18,20,8,45,48,47,46,49,51,50,7,43,79,78,68,69,52,24,5,42,80,76,66,71,53,25,4,41,81,82,65,74,55,26,3,40,83,75,64,73,56,28,2,39,62,60,63,59,58,31,1,38,37,35,34,33,32,30,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-268,-15.0,64,1.0,64,0.03125,0.0,ALL,1.0,-30.0,0.765625,62.0,0.015625,RS,0.984375
216-713,53,216-713PL1,Absent,25062,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,62,0,67,57,55,13,14,15,66,60,0,27,26,54,52,16,64,70,69,2,24,35,51,0,0,72,0,23,3,0,50,17,8,28,29,74,47,31,49,0,0,7,0,46,4,30,38,18,0,45,0,5,22,41,21,19,0,0,44,43,42,39,0,0,-15.0,47,Unicorn_Absent,-1,-1,Unicorn_Absent,-283,-32.0,49,0.765625,62,0.171875,0.234375,RS,0.765625,-32.0,0.765625,64.0,0.03125,ALL,1.0
216-713,59,216-713PL1,Absent,26431,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,25,23,22,6,17,31,8,62,19,26,27,28,29,30,33,61,60,59,58,55,16,48,9,64,65,66,68,57,15,47,34,63,3,67,70,14,56,50,36,80,79,78,71,53,51,45,37,81,1,77,72,13,42,43,44,82,84,76,74,12,41,40,39,-23.0,55,Unicorn_Absent,-1,-1,Unicorn_Absent,-293,-32.0,64,0.96875,64,0.109375,0.140625,ALL,1.0,-30.0,1.0,62.0,0.03125,ALL,0.765625
216-713,9,216-713PL2,Absent,34071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,24,25,26,27,28,4,5,54,55,56,33,32,29,6,7,53,58,57,34,31,30,8,10,52,59,0,35,36,37,11,22,51,0,0,40,39,38,13,21,50,0,0,41,42,43,14,9,49,48,47,46,45,44,12,2,20,19,18,17,16,15,3,-27.0,59,Unicorn_Absent,-1,-1,Unicorn_Absent,6,-32.0,59,0.921875,64,0.078125,0.078125,RS,0.921875,-32.0,0.921875,64.0,0.0,ALL,
216-713,12,216-713PL2,Absent,30364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,65,62,60,61,55,53,54,37,64,63,59,58,56,52,51,36,44,45,46,47,48,49,50,35,33,43,42,41,40,39,38,34,32,31,30,29,28,27,26,25,9,10,11,12,13,18,19,24,8,7,6,5,14,17,20,23,1,2,3,4,15,16,21,22,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-30,-28.0,64,1.0,64,0.0,0.0,ALL,1.0,-32.0,0.9375,64.0,0.078125,RS,0.921875
216-713,20,216-713PL2,Absent,25141,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,45,46,47,53,49,52,51,43,61,58,57,54,0,0,0,42,60,59,56,55,0,0,0,41,20,22,23,25,28,29,31,19,21,2,24,26,27,30,32,5,4,3,8,9,10,11,33,14,6,7,13,12,38,39,34,15,16,17,18,37,36,40,35,-26.0,58,Unicorn_Absent,-1,-1,Unicorn_Absent,-46,-14.0,58,0.75,64,0.25,0.09375,RS,0.90625,-22.0,0.6774193548387096,54.0,0.15625,RS,1.0
216-713,28,216-713PL2,Absent,28671,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,30,16,0,0,0,0,0,31,15,17,0,0,50,51,32,14,18,29,0,49,5,6,4,19,28,40,48,33,1,2,3,27,26,39,34,11,7,8,9,25,38,41,35,12,10,20,24,43,45,42,13,21,22,23,37,47,44,46,-18.0,50,Unicorn_Absent,-1,-1,Unicorn_Absent,-51,-23.0,50,0.765625,64,0.21875,0.21875,RS,0.78125,-30.0,0.640625,62.0,0.0,RS,0.90625
216-713,45,216-713PL2,Absent,26738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,45,46,47,69,15,68,16,43,13,14,49,48,51,50,67,75,12,76,4,5,52,22,53,42,58,3,71,55,23,19,17,41,11,56,2,20,24,70,73,40,57,59,60,21,25,18,66,74,10,1,9,8,26,63,31,38,77,36,61,62,27,32,72,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-131,-31.0,64,1.0,64,0.0,0.0,ALL,1.0,-32.0,0.984375,64.0,0.0,RS,0.78125
216-713,48,216-713PL2,Absent,29599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,44,4,45,46,48,49,85,33,43,54,53,52,5,51,50,32,12,87,82,56,57,0,58,37,42,2,62,83,61,60,84,31,63,64,69,20,65,66,86,38,41,71,70,25,24,22,67,40,10,26,68,80,79,8,23,29,28,81,72,9,78,76,75,-31.0,63,Unicorn_Absent,-1,-1,Unicorn_Absent,-196,-31.0,63,0.96875,64,0.03125,0.015625,RS,0.984375,-31.0,0.984375,63.0,0.015625,ALL,1.0
216-713,49,216-713PL2,Absent,26670,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,55,59,40,12,41,65,43,31,32,54,60,61,62,66,67,30,37,38,10,52,14,68,44,29,36,15,35,51,82,7,45,27,91,3,75,9,50,83,46,26,77,78,93,80,8,69,47,89,19,90,1,73,84,70,48,88,87,20,92,72,86,85,25,-31.0,63,Unicorn_Absent,-1,-1,Unicorn_Absent,-227,-30.0,64,0.984375,64,0.0,0.015625,ALL,1.0,-31.0,0.96875,63.0,0.03125,RS,0.984375
216-713,52,216-713PL2,Absent,26569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,8,9,53,52,11,12,13,24,6,25,36,26,51,50,76,85,5,34,48,90,41,28,77,23,57,47,88,89,45,74,84,55,3,33,43,42,72,29,82,56,2,69,87,70,71,30,80,21,86,59,32,31,60,62,81,20,1,67,66,65,64,17,63,-32.0,64,Unicorn_Absent,-1,-1,Unicorn_Absent,-268,-15.0,64,0.96875,64,0.03125,0.0,ALL,1.0,-30.0,0.9375,62.0,0.015625,RS,1.0
216-713,53,216-713PL2,Absent,26587,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,26,34,35,83,14,15,0,6,25,12,0,55,5,75,54,52,24,27,4,56,73,74,76,20,33,39,72,57,16,61,77,51,28,40,18,71,79,78,65,50,32,81,80,58,60,66,21,0,30,41,0,59,9,67,68,49,31,42,43,44,45,46,70,48,-15.0,47,Unicorn_Absent,-1,-1,Unicorn_Absent,-283,-32.0,60,0.9375,62,0.171875,0.234375,RS,0.9375,-32.0,0.9375,64.0,0.03125,ALL,1.0
216-713,59,216-713PL2,Absent,32216,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,64,0,17,62,61,0,52,0,16,4,18,5,6,7,0,50,15,3,19,65,24,60,8,49,14,67,68,22,25,0,9,48,13,2,66,26,69,59,44,47,28,12,27,0,10,42,58,45,0,0,11,40,39,55,56,38,29,30,0,33,34,53,54,37,-23.0,55,Unicorn_Absent,-1,-1,Unicorn_Absent,-293,-32.0,55,0.859375,64,0.109375,0.140625,RS,0.859375,-30.0,0.859375,62.0,0.03125,ALL,0.9375
251-716,2,251-716PL1,Absent,35759,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,0,11,0,25,0,8,0,0,9,24,10,0,0,0,0,13,21,22,23,7,0,0,3,0,20,4,0,0,46,14,0,2,18,0,0,0,44,43,41,42,15,6,26,27,38,39,40,1,16,17,5,28,45,37,35,34,33,32,31,29,-7.0,39,Unicorn_Absent,-1,-1,Unicorn_Absent,11,-10.0,43,,59,,0.3125,RS,0.671875,,0.6226415094339622,,,RS,
