"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.127383856325695","0.0762557082651596","0.0578432640086609","0.00519983486858613","0","0","0","0","0","0",1612.32648588608
"WSLS","0.10062430105828","0.0502510534478565","0.0178945673839213","0.00231289797214931","37.4548430788819","29.9576381582865","4.62630737006105","0","0","0",653.956109337754
"FRA","0.0597971959174574","0.0460994949675595","0.0029982592579394","0.000113682283042219","39.6856643921076","29.5978407840233","15.1549548233529","0.513855152253273","29.0041979917613","0.954467603934867",556.907554293618
